topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1430633888766992387	http://twitter.com/user/status/1430633888766992387	Những người được tiêm chủng đang chờ đợi những người chưa được tiêm chủng chết vì corona. Những người chưa được tiêm chủng đang chờ đợi người được tiêm chủng chết vì vắc-xin. Nó sẽ căng thẳng cho đến khi kết thúc. 😀	0
COVID-19	1398304225579483141	http://twitter.com/user/status/1398304225579483141	Những người chơi bóng voe tội lỗi trong thời đại corona: từ phụ nữ trong ho elkamer o các bên bất hợp pháp h ps:// .co/cms0S101ur #elegraafpremium qua @Telegraaf	1
COVID-19	1372585805114400769	http://twitter.com/user/status/1372585805114400769	"23 mét nhật ký vẽ ""Coronavirus ở Bulgaria"" của Alla Georgieva ở Kvadrat-500, Phòng trưng bày Nghệ thuật Quốc gia, Sofia. Công việc hài hước, đáng lo ngại, tò mò và rất cá nhân. Đừng bỏ lỡ! https://t.co/v19VkNdkst"	1
COVID-19	1395049026391875585	http://twitter.com/user/status/1395049026391875585	@Jopinie @ thương tiếc Và sau đó là phản ứng của @rivm.... Không ảnh hưởng đến việc sắp xếp maa.... NGU NGỐC KHÔNG THỂ TƯỞNG TƯỢNG NỔI!! Rửa tay..... DỪNG LẠI!!	0
COVID-19	1436434285813243930	http://twitter.com/user/status/1436434285813243930	Văn phòng Thống đốc Istanbul thông báo rằng những người chưa được tiêm chủng liều gấp đôi sẽ không được nhận vào cuộc biểu tình do những người chống vắc-xin tổ chức.	1
COVID-19	1460549433167429632	http://twitter.com/user/status/1460549433167429632	🧠Một loại vắc-xin chống lại bệnh Alzheimer có thể xuất hiện sau khi các nhà khoa học thực hiện các thử nghiệm thành công trên động vật. Các nhà nghiên cứu đã có thể đảo ngược tình trạng mất trí nhớ ở chuột và muốn nhanh chóng chuyển sang thử nghiệm trên người Thread 🧵👇 https://t.co/HDnxvXZJgj https://t.co/yI7wuMSu3K	1
COVID-19	1411724619594280963	http://twitter.com/user/status/1411724619594280963	Mẹ tôi có phản ứng xấu với Covid-19 và vắc xin. Bây giờ cô ấy đã bị cắt cụt dưới đầu gối và sẽ mất hầu hết các tay sau đó. Xin vui lòng chúng tôi cần giúp đỡ với hóa đơn y tế và điều chỉnh để làm cho cô ấy thoải mái. Chúng tôi tạ ơn Chúa vì cuộc sống của cô ấy. Chúa phù hộ bạn! 🙏🏾 https://t.co/KTyzzBk4dm	1
COVID-19	1374121795465453572	http://twitter.com/user/status/1374121795465453572	@desperadoo bạn @DelhaizeBelgium Mọi người có trở lại tôn vinh dăm bông không?	0
COVID-19	1391709541373464579	http://twitter.com/user/status/1391709541373464579	Vì vậy, nó cũng có thể được thực hiện nếu bạn không có một corrup e #coronajun một zi .	0
COVID-19	1367501576714223622	http://twitter.com/user/status/1367501576714223622	Ôi những người không tin, bạn đã không tạo ra nhiều vắc-xin hơn.? Nhanh chóng, bạn sẽ không bị xúc phạm vì những người tin đã chạy trốn và một số người trong số họ muốn cầu nguyện chống lại bạn trong Nhà thờ Hồi giáo	0
