topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1367536126425255938	http://twitter.com/user/status/1367536126425255938	@mb9955hotmailc1 @Mimisbrunnr0 не остаточна вакцина, яка захищає вас від грипу на все життя, а вакцина, яка змінюється щороку, тому що втрачає свою дію через мутацію вірусу, що триває.	0
COVID-19	1367480408359768067	http://twitter.com/user/status/1367480408359768067	@Dralkhadhari Чому він закриває його на тих, хто не хоче вакцинуватися Чому ви бачите, що ситуація може стати небезпечнішою До речі, може виникнути криза впертості Будьте обережні, щоб таким чином підбурити уряд Ви хочете, щоб життя повернулося, прокляті ваші життя всі за рахунок наших життів і життів наших дітей Померти з вакциною, але найголовніше, щоб наше життя повернулося. О, мир	0
COVID-19	1418980586358771713	http://twitter.com/user/status/1418980586358771713	Президент @RTErdogan: «Станом на сьогодні кількість вакцин, які ми ввели, наблизилася до 43 мільйонів доз https://t.co/zu8RtHyURr».	1
COVID-19	1428402551116926977	http://twitter.com/user/status/1428402551116926977	Стан системи освіти країни очевидний, діти складають іспити в умовах епідемії, але ваша проблема з молоддю – це PUBG і Kpop.  Ти злісний або відверто дурний, іноді я не можу розібратися	0
COVID-19	1240748784445009921	http://twitter.com/user/status/1240748784445009921	2008: 👧🏻Мені здається, що мене щось нудить 👨🏻Нісенітниця, ти просто не хочеш ходити в дитячий садок 2020: 👩🏻Я думаю, що у мене нісенітниця про коронавірус, 👨🏻ти просто не хочеш ходити на роботу	0
COVID-19	1407704859521003521	http://twitter.com/user/status/1407704859521003521	103-річна жінка відсвяткувала перемогу над Covid-19 холодним пивним https://t.co/Mf270vZZH1	0
COVID-19	1329769715145781248	http://twitter.com/user/status/1329769715145781248	Заплатіть кожному 1500 доларів, щоб отримати вакцину Це стимулююча перевірка та великий стимул для вакцинації, об'єднані в один Результат: більше людей отримують вакцину, це рятує життя, допомагає людям фінансово, а 400 мільярдів доларів окупаються за рахунок економічного поштовху від припинення пандемії RT, якщо ви погоджуєтеся #vaccinestimulus	0
COVID-19	1367421882555850778	http://twitter.com/user/status/1367421882555850778	Тату, соціальне дистанціювання не корисне, відвідав те, що корисно, вакцинація корисна, Хаза Каруна передається повітряним шляхом, Джамшир, Аль-Абрак продуктовий магазин.	1
COVID-19	1371910790438092805	http://twitter.com/user/status/1371910790438092805	Я слухаю це цілий день wap Я люблю Меган Хі з Allion якби я міг сісти на її емменів, я б зробив da gr karin 🇱🇺🚜🔴 wap wap wap, але не corona wappie	0
COVID-19	1408895773484453889	http://twitter.com/user/status/1408895773484453889	Я стаю бунтівним, я даю фінал, я їду у відпустку з друзями	0
COVID-19	1432380806983467010	http://twitter.com/user/status/1432380806983467010	2) Ми звернемося до суду проти цієї особи. Ми не допустимо ні найменшого бруду в цій боротьбі. Я ще раз заявляю, що; Медичні працівники підхопили вірус для нації та країни під час епідемічного процесу, вони померли та стали мучениками. #MuratAlanHaddiniBil	0
COVID-19	1367452730315407361	http://twitter.com/user/status/1367452730315407361	Чи потрібен ПЛР-тест перед вакцинацією? .... Чи не після вакцинації потрібен антисерологічний тест?... До і після вакцинації 👈🏼 ми дотримуємося профілактичних😷запобіжних заходів, особливо в світлі епідемічного📈 спалаху. #الكويت #تطعيم_كورونا https://t.co/AHzQmx0N8G	1
COVID-19	1367504107750248449	http://twitter.com/user/status/1367504107750248449	"Вона описала туніський народ як ""нужденний"" | Еміратський Аль-Айн має право: Туніс Народна радість з появою вакцини ОАЕ від коронавірусу https://t.co/8oOPz4c4KN"	1
COVID-19	1367412408197804035	http://twitter.com/user/status/1367412408197804035	Міністр Хасан: Забезпечення прибуття 3 мільйонів доз вакцини проти коронавірусу протягом декількох днів ... Амар О Кувейт	1
COVID-19	1393586569349668869	http://twitter.com/user/status/1393586569349668869	@JohnnyBG19 я теж цього боявся, але я налаштований більш позитивно, я розмовляв з кількома друзями та сім'єю, які більше не стежать за коронавірусом, дуже не хочуть більше вакцинуватися. Це знову додало мені сміливості.	0
COVID-19	1370397538466070532	http://twitter.com/user/status/1370397538466070532	Завтра виповниться рівно 1 рік з моменту мого домашнього офісу. Ну, з психікою у мене все гаразд, якщо виключити злість після корони, поки що я супер... Але різноманітність обов'язково потрібна! Цього літа я думаю про те, щоб затягнути вилку і зробити сільський домашній офіс. Корона! Все пройде! https://t.co/51A0Anh51r	0
COVID-19	1375392830173155332	http://twitter.com/user/status/1375392830173155332	Громадяни, не забудьте сказати своїм товаришам по соціалістичній мережі: 1. Коли ви віддали свій голос за народовладдя 2. Коли ви були імунізовані проти нового імперіалістичного коронавірусу 3. Щоразу, коли ви випорожнюєтеся #крайнапрегледа	0
COVID-19	1467072355432374272	http://twitter.com/user/status/1467072355432374272	9 місяців тому сьогодні я знепритомніла вдома через 14 днів після мого 1-го AstraZeneca. Я тут, коли мене не повинно бути. Я втратив ліву ногу вище коліна, і в мене відбувається багато інших речей. Все від вакцини. Я був дійсно здоровою людиною без будь-яких проблем зі здоров'ям.	1
COVID-19	1367522611429855236	http://twitter.com/user/status/1367522611429855236	@georgeshayek712 Бейруті 25 000 вакцин Гора Ліван слідує за найбільшою провінцією 10 000 вакцин, і вони кажуть, що немає дискримінації, хто просив або відкриває смерть від будь-якого християнського лідера, тому що вони послідовники, ганьба, татуювання	1
COVID-19	1316073452709781505	http://twitter.com/user/status/1316073452709781505	@MichalLauren 11 @GMeyfroid @JochenNijs Ще трохи часу і я етап 1А, будь ласка. Мій pee pro hoarse все одно повинен бути активований. Я ходжу з сумкою для презерватива і мішком для сечі вже 24 місяці. Люди втомилися від коронавірусу. Ну, я той хлопець з презервативами... набридло ...:). На 2 роки !	0
COVID-19	1367428707594493952	http://twitter.com/user/status/1367428707594493952	Країни, які боролися і працювали, щоб отримати вакцину від коронавірусу і пожертвували її іншим, не святкували і не галасували, як це роблять уряди-невдахи, які чекають на пожертви інших і вихваляються ними перед своїм народом. Вони хочуть створювати уявні досягнення з нічого#العراق	1
COVID-19	1351068280207896576	http://twitter.com/user/status/1351068280207896576	@chris oruijs He rech om e demons reren закріплено в КОНСТИТУЦІЇ. Абсурдно зловживати «Corona-maa» під виглядом «Громадської охорони здоров'я», щоб обмежити раси демонів у великих кількостях, позначаючи набагато менше місце. До речі, там бігало близько 3К О 4К демонів.	1
COVID-19	1367132730857816068	http://twitter.com/user/status/1367132730857816068	#صحة_بيشة Відео | Почуття бенефіціарів після прийому вакцини #كوفيد_19 в центрі Аль-Базаза в провінції Балкарн. Зареєструйтесь зараз через додаток #صحتي Vaccine App: https://t.co/AoeKz20kNC https://t.co/I1mkR7x0JQ	0
COVID-19	1398690139195461634	http://twitter.com/user/status/1398690139195461634	Я вражений Ab Os erhaus. S el 1 отримати корону + втомився він цілих одинадцять вже в quaran aine = немає чемпіонату Європи.	0
COVID-19	1367508749829693440	http://twitter.com/user/status/1367508749829693440	Пропозиція, і я сподіваюся, що вона побачить світло, оскільки телекомунікаційні компанії, асоціації та банки не зупинилися і не зупинилися під час коронакризи та своїх прибутків, дасть Бог, чому б їм не забезпечити вакцинацію своїх співробітників та працівників власним коштом!! #وزاره_الصحه #مجلس_الوزراء #الحظر_الجزئي @KUWAIT_MOH @KuwaitiCM	0
COVID-19	1436240151307509767	http://twitter.com/user/status/1436240151307509767	Як вчителька, яка отримала щеплення подвійною дозою Біонтеху і нещодавно заразилася мутацією Дельта і одужала, я готова до нового навчального року, мій дорогий teachers@esenol @DrGunerSonmez @bengibaser @AlbayDt @DeryaTR_ @kaan_levin https://t.co/LXDYCb6KjU	1
COVID-19	1457121009362952198	http://twitter.com/user/status/1457121009362952198	У Греції антивакцинатори платять лікарям 400 євро за те, щоб вони зробили їм уколи бактеріостатичної води замість #COVID19 вакцини. За винятком того, що лікарі все одно привласнюють гроші і роблять їм справжній укол: https://t.co/cAX9fbmDW6	1
COVID-19	1269251669851811853	http://twitter.com/user/status/1269251669851811853	@Saskia95173340 @Naomi_MVV @KellyOverCorona @RIVM_vDissel Я не думаю, що вам потрібно з нами розмовляти. ☺️	0
COVID-19	1354949005554290690	http://twitter.com/user/status/1354949005554290690	@blckbxnews @hugodejonge @MinPres @RobJe і @SigridKaag @WybrenvanHaga @ hierrybaude @keesvds aaij @rivm @RIVM_vDissel Ви можете зробити це перші чотири-п'ять днів після зараження, з: ● івермін, ● інджек цинку або такий, як гідроксихлорохін, ● багато елементів повітряного цинку, ● ібіо ік, ● vi амін С, ● vi амін D,  ● Селен.  Ось де ця недопечена нісенітниця з мРНК.	1
COVID-19	1379011802810437635	http://twitter.com/user/status/1379011802810437635	"@hri1OO Кілька місяців тому на сходах мене зустрів сусід і сказав, що корони немає. Минулого тижня та сама сусідка заявила, що у неї ""дуже важкий грип"". Мої знайомі теж загнали всю сім'ю на «холод». Кожен думає/розповідає, як хоче."	0
COVID-19	1351239498605223939	http://twitter.com/user/status/1351239498605223939	У @he уркерланд про #homeschooling &amp; #leerkrach буття. Віяло, як іш, як #leerlingen підхоплюють свою роботу, # ро с на всіх #ouders, які роблять 🥊 все можливе, щоб сформувати #onderwijs a/d #keuken afel. Я вважаю, що кожен приходить саме туди, де втомився. h ps:// .co/LQm0XncEBV	0
COVID-19	1359088317300678656	http://twitter.com/user/status/1359088317300678656	@DonnaVanderloo @Wim04789402 @NOS Я не знаю, як він зараз, але в березні 2020 року HCQ був лікуванням pro ocol для пацієнтів з коронавірусом і в лікарнях... Мій добрий знайомий лікувався нею. Він пролежав у лікарні близько тижня, зараз проходить реабілітацію вдома.	1
COVID-19	1455941456116465667	http://twitter.com/user/status/1455941456116465667	Роджерс почув, що вакцина може допомогти захистити його сім'ю, і він не хотів брати в ній участь	0
